Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,VOLUME ,turnover
13-Jul-23,"2,783.90","2,799.00","2,737.25","2,767.75","2,743.00","67,76,172",187983.5765
12-Jul-23,"2,766.30","2,802.00","2,761.65","2,764.70","2,767.75","86,45,662",240487.6483
11-Jul-23,"2,752.90","2,770.00","2,737.60","2,735.05","2,764.70","92,62,001",255199.7541
10-Jul-23,"2,688.90","2,756.00","2,675.00","2,633.60","2,735.05","1,53,40,262",418719.9557
07-Jul-23,"2,635.00","2,664.95","2,628.00","2,638.75","2,633.60","61,72,684",163291.6452
06-Jul-23,"2,576.05","2,644.45","2,576.05","2,584.50","2,638.75","88,22,948",231915.2586
05-Jul-23,"2,609.00","2,609.00","2,575.80","2,588.75","2,584.50","47,29,479",122299.5479
04-Jul-23,"2,625.00","2,625.00","2,573.25","2,615.70","2,588.75","37,20,447",96309.11136
03-Jul-23,"2,558.05","2,622.00","2,555.35","2,550.25","2,615.70","56,09,248",145642.0745
30-Jun-23,"2,546.40","2,556.65","2,533.45","2,529.50","2,550.25","51,46,441",130912.5136
28-Jun-23,"2,513.00","2,537.85","2,497.85","2,496.45","2,529.50","52,39,872",132332.1387
27-Jun-23,"2,496.55","2,509.50","2,486.65","2,495.55","2,496.45","44,71,687",111624.3055
26-Jun-23,"2,507.00","2,515.40","2,488.70","2,514.75","2,495.55","58,33,893",145849.6004
23-Jun-23,"2,528.90","2,533.40","2,512.00","2,535.50","2,514.75","30,59,084",77136.44596
22-Jun-23,"2,556.00","2,573.30","2,532.00","2,564.30","2,535.50","35,16,244",89708.24759
21-Jun-23,"2,557.00","2,569.85","2,548.00","2,557.10","2,564.30","32,12,779",82310.21945
20-Jun-23,"2,547.55","2,564.00","2,535.00","2,551.80","2,557.10","31,94,085",81404.54944
19-Jun-23,"2,584.00","2,584.00","2,542.65","2,577.40","2,551.80","31,37,532",80190.25286
16-Jun-23,"2,560.20","2,582.40","2,560.20","2,552.55","2,577.40","1,11,55,180",287222.0281
15-Jun-23,"2,551.80","2,562.55","2,535.50","2,551.85","2,552.55","54,51,926",139113.1599
14-Jun-23,"2,521.00","2,555.00","2,517.00","2,520.85","2,551.85","61,27,509",155721.2076
13-Jun-23,"2,495.00","2,523.45","2,486.25","2,484.15","2,520.85","51,90,958",130244.0912
12-Jun-23,"2,475.50","2,489.20","2,465.00","2,481.95","2,484.15","29,49,893",73150.18538
09-Jun-23,"2,507.00","2,508.55","2,478.00","2,499.65","2,481.95","27,12,243",67643.00004
08-Jun-23,"2,506.00","2,516.85","2,491.00","2,498.15","2,499.65","55,70,815",139499.2558
07-Jun-23,"2,487.00","2,500.00","2,472.60","2,479.35","2,498.15","47,59,238",118365.0977
06-Jun-23,"2,483.45","2,487.70","2,462.00","2,477.25","2,479.35","34,58,161",85544.57379
05-Jun-23,"2,467.20","2,483.75","2,458.45","2,455.20","2,477.25","50,34,355",124355.3649
02-Jun-23,"2,471.00","2,482.85","2,451.00","2,463.25","2,455.20","72,91,995",179333.8434
01-Jun-23,"2,480.15","2,484.90","2,458.00","2,469.90","2,463.25","67,34,525",166481.3992
31-May-23,"2,500.00","2,509.85","2,461.00","2,519.95","2,469.90","1,25,10,304",309922.9569
30-May-23,"2,520.60","2,537.70","2,514.35","2,520.60","2,519.95","52,34,564",132169.6128
29-May-23,"2,521.00","2,530.00","2,507.20","2,506.50","2,520.60","46,19,754",116406.5805
26-May-23,"2,458.00","2,509.00","2,450.75","2,439.95","2,506.50","58,27,017",145066.125
25-May-23,"2,433.90","2,449.00","2,416.05","2,440.25","2,439.95","53,01,647",128837.3288
24-May-23,"2,445.90","2,464.00","2,433.45","2,454.55","2,440.25","37,43,804",91639.84989
23-May-23,"2,460.65","2,468.00","2,451.45","2,455.00","2,454.55","28,11,473",69165.83531
22-May-23,"2,435.00","2,466.00","2,432.35","2,441.95","2,455.00","34,31,208",84262.66009
19-May-23,"2,434.05","2,445.95","2,418.85","2,434.05","2,441.95","37,15,280",90382.04553
18-May-23,"2,449.55","2,457.00","2,427.15","2,439.30","2,434.05","48,57,531",118702.1995
17-May-23,"2,463.00","2,465.00","2,429.00","2,453.80","2,439.30","40,60,722",99269.61637
16-May-23,"2,494.00","2,499.60","2,450.15","2,489.25","2,453.80","40,23,000",99535.7068
15-May-23,"2,489.90","2,504.55","2,473.15","2,484.35","2,489.25","31,53,587",78594.81401
12-May-23,"2,469.80","2,487.40","2,456.50","2,480.30","2,484.35","32,09,889",79396.5823
11-May-23,"2,498.95","2,509.50","2,476.55","2,496.60","2,480.30","48,72,451",121519.6609
10-May-23,"2,490.00","2,499.85","2,481.20","2,479.55","2,496.60","50,17,544",125120.1844
09-May-23,"2,475.00","2,486.80","2,463.25","2,471.90","2,479.55","29,83,468",73898.73116
08-May-23,"2,450.00","2,483.65","2,444.15","2,441.75","2,471.90","42,24,469",104277.2579
05-May-23,"2,441.00","2,461.35","2,436.00","2,448.00","2,441.75","40,36,548",98809.00102
04-May-23,"2,421.15","2,452.85","2,414.60","2,420.10","2,448.00","39,85,159",97166.26291
03-May-23,"2,445.00","2,445.00","2,413.05","2,441.05","2,420.10","32,59,053",78967.75125
02-May-23,"2,436.20","2,445.80","2,428.10","2,420.50","2,441.05","59,91,101",146112.5097
28-Apr-23,"2,382.00","2,423.90","2,381.75","2,377.05","2,420.50","71,83,342",173079.4705
27-Apr-23,"2,375.00","2,384.00","2,364.00","2,362.10","2,377.05","42,30,627",100394.9321
26-Apr-23,"2,379.00","2,386.10","2,354.05","2,376.05","2,362.10","39,77,129",93993.18934
25-Apr-23,"2,366.00","2,380.60","2,350.50","2,358.00","2,376.05","42,62,471",100839.3049
24-Apr-23,"2,375.00","2,380.90","2,348.00","2,349.00","2,358.00","59,70,048",140935.0941
