Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,close ,VOLUME ,turnover
27-Jul-23,"2,534.05","2,537.65","2,490.35","2,526.20","2,502.70","86,13,449",216128.1912
26-Jul-23,"2,485.00","2,547.00","2,485.00","2,485.80","2,526.20","64,55,506",163093.7048
25-Jul-23,"2,494.00","2,505.20","2,480.00","2,487.40","2,485.80","60,13,010",149886.8153
24-Jul-23,"2,481.00","2,514.95","2,469.30","2,538.75","2,487.40","1,18,63,933",295601.1881
21-Jul-23,"2,609.00","2,614.90","2,523.60","2,619.85","2,538.75","1,51,24,619",385651.57
20-Jul-23,"2,580.00","2,630.95","2,580.00","2,841.85","2,619.85","1,93,58,812",506039.5672
19-Jul-23,"2,830.00","2,856.00","2,797.00","2,820.45","2,841.85","1,80,54,869",510395.7814
18-Jul-23,"2,817.00","2,837.45","2,793.00","2,796.70","2,820.45","1,19,37,761",336018.4547
17-Jul-23,"2,747.00","2,815.05","2,728.00","2,740.70","2,796.70","1,02,54,545",285107.3106
14-Jul-23,"2,750.00","2,760.90","2,725.10","2,743.00","2,740.70","69,79,790",191178.1318
13-Jul-23,"2,783.90","2,799.00","2,737.25","2,767.75","2,743.00","67,76,172",187983.5765
